,Open,High,Low,Close,Volume,8_EMA,200_SMA
1999-11-01,105.3,106.7,105.0,105.1,2852100,105.1,
1999-11-02,105.1,106.1,102.3,102.5,3691300,104.52222222222221,
1999-11-03,104.0,105.1,103.5,104.3,2498800,104.47283950617283,
1999-11-04,105.0,106.0,104.9,105.3,3183100,104.65665294924554,
1999-11-05,106.0,106.7,105.3,105.5,3442600,104.84406340496875,
1999-11-08,105.6,105.9,103.9,104.4,2241800,104.74538264830903,
1999-11-09,105.4,105.4,103.3,103.6,2106400,104.49085317090702,
1999-11-10,102.5,103.5,102.3,103.0,2689100,104.15955246626102,
1999-11-11,103.1,104.0,102.9,103.8,1388400,104.07965191820301,
1999-11-12,104.0,104.3,102.3,103.8,1496700,104.01750704749124,
1999-11-15,103.8,103.9,102.6,103.5,1611500,103.90250548138208,
1999-11-16,104.3,106.1,104.1,106.1,2940000,104.3908375966305,
1999-11-17,105.9,106.9,105.4,105.6,2457200,104.65954035293484,
1999-11-18,104.9,105.0,103.6,104.4,1733200,104.60186471894932,
1999-11-19,104.4,105.2,103.8,105.2,1531500,104.73478367029391,
1999-11-22,105.1,105.8,104.4,105.3,1644500,104.86038729911748,
1999-11-23,104.9,104.9,103.5,104.0,2105600,104.66919012153582,
1999-11-24,103.6,104.9,103.6,104.8,1801200,104.69825898341675,
1999-11-26,105.0,105.1,103.2,103.2,671200,104.36531254265748,
1999-11-29,103.0,105.3,101.8,105.1,2038400,104.52857642206693,
1999-11-30,104.3,104.7,103.6,103.8,1730500,104.36667055049651,
1999-12-01,103.3,103.4,101.1,102.5,2292600,103.9518548726084,
1999-12-02,101.2,101.3,99.0,100.1,3267000,103.09588712313986,
1999-12-03,99.0,99.44,96.13,97.25,6360500,101.79680109577545,
1999-12-06,96.0,97.94,95.56,96.81,3373000,100.68862307449201,
1999-12-07,96.94,97.19,93.06,93.38,5460000,99.06448461349379,
1999-12-08,92.81,93.31,90.25,91.21,4971000,97.31904358827295,
1999-12-09,92.0,94.63,91.75,93.25,4335900,96.41481167976785,
1999-12-10,95.0,95.13,93.25,94.38,2925000,95.9626313064861,
1999-12-13,94.63,94.81,92.06,93.18,2713700,95.34426879393364,
1999-12-14,92.25,95.69,92.0,94.19,2887200,95.08776461750394,
1999-12-15,94.13,95.19,93.5,94.67,3021700,94.9949280358364,
1999-12-16,95.69,95.75,93.44,94.63,3238500,94.91383291676163,
1999-12-17,95.06,95.44,92.38,94.88,7296000,94.90631449081461,
1999-12-20,93.94,94.0,90.44,91.98,3185500,94.2560223817447,
1999-12-21,91.63,91.69,90.13,91.0,2905800,93.5324618524681,
1999-12-22,90.88,92.75,90.81,91.56,2891200,93.09413699636409,
1999-12-23,92.63,95.88,92.0,95.56,2903600,93.64210655272763,
1999-12-27,95.44,97.75,94.75,97.75,2081200,94.5549717632326,
1999-12-28,97.75,97.75,94.38,95.44,1706700,94.75164470473646,
1999-12-29,96.19,96.19,92.25,92.44,1558000,94.2379458814617,
1999-12-30,93.0,94.5,93.0,93.5,1223900,94.07395790780355,
1999-12-31,93.5,94.38,93.13,93.25,685600,93.89085615051387,
2000-01-03,93.13,93.75,91.69,92.19,2321200,93.51288811706634,
2000-01-04,91.13,91.56,88.75,88.81,3911100,92.46780186882937,
2000-01-05,88.81,90.81,88.44,90.19,4114800,91.96162367575617,
2000-01-06,90.31,93.94,90.13,92.56,2678200,92.0945961922548,
2000-01-07,94.13,96.94,93.63,96.5,4931900,93.07357481619817,
2000-01-10,96.69,96.94,94.06,94.06,2464300,93.29278041259857,
2000-01-11,93.0,94.94,92.94,94.06,3076500,93.46327365424334,
2000-01-12,93.88,95.06,93.19,93.5,2581600,93.47143506441148,
2000-01-13,93.94,96.0,93.06,93.38,2329600,93.45111616120893,
2000-01-14,93.94,94.38,92.81,93.69,2702400,93.50420145871806,
2000-01-18,92.0,93.06,91.06,91.31,2435000,93.01660113455848,
2000-01-19,91.0,92.06,90.63,91.63,2753700,92.70846754910104,
2000-01-20,92.25,92.31,90.06,91.94,2411700,92.53769698263415,
2000-01-21,91.75,91.75,89.63,89.88,4269000,91.94709765315989,
2000-01-24,90.13,90.19,83.56,83.69,5652100,90.1121870635688,
2000-01-25,83.88,86.94,83.56,85.25,6478400,89.0317010494424,
2000-01-26,86.25,86.88,83.06,83.5,4745700,87.80243414956631,
2000-01-27,83.75,83.94,80.5,80.5,6203300,86.17967100521824,
2000-01-28,80.88,85.19,80.88,84.5,6170000,85.8064107818364,
2000-01-31,85.19,86.75,82.81,86.06,4527600,85.86276394142831,
2000-02-01,85.44,85.5,84.38,84.81,3039600,85.62881639888869,
2000-02-02,85.5,86.31,84.94,85.25,2895800,85.54463497691343,
2000-02-03,85.0,85.0,81.88,83.31,5118600,85.04804942648822,
2000-02-04,82.13,83.63,81.81,82.13,3453000,84.39959399837973,
2000-02-07,81.56,82.0,81.0,81.44,2911000,83.74190644318423,
2000-02-08,82.44,83.0,81.25,82.06,3062700,83.36814945580996,
2000-02-09,82.06,82.13,79.69,80.0,6211300,82.6196717989633,
2000-02-10,79.81,80.38,77.5,78.0,5672400,81.59307806586034,
2000-02-11,77.75,78.44,75.94,77.44,5116600,80.67017182900248,
2000-02-14,76.94,78.25,76.69,77.63,3686500,79.99457808922415,
2000-02-15,77.69,80.25,77.5,79.69,4931700,79.92689406939655,
2000-02-16,80.25,80.63,78.94,79.81,4623600,79.90091760953065,
2000-02-17,80.94,81.13,78.75,79.19,2887200,79.74293591852384,
2000-02-18,78.5,78.94,76.88,77.44,4123100,79.2311723810741,
2000-02-22,78.0,79.06,76.75,78.63,3653700,79.09757851861319,
2000-02-23,78.13,78.31,76.13,76.13,4146600,78.43811662558804,
2000-02-24,75.0,75.25,72.0,73.75,9256400,77.39631293101291,
2000-02-25,72.56,72.63,70.31,72.0,6610700,76.19713227967671,
2000-02-28,72.0,72.94,70.06,72.75,6768900,75.431102884193,
2000-02-29,73.25,73.44,71.25,72.0,5091600,74.66863557659455,
2000-03-01,72.25,73.38,71.06,73.38,4698600,74.3822721151291,
2000-03-02,73.0,74.94,72.63,73.69,3396500,74.22843386732264,
2000-03-03,74.25,74.25,72.25,73.5,2897300,74.06655967458427,
2000-03-06,72.94,72.94,70.25,70.5,3815700,73.27399085800998,
2000-03-07,70.5,70.5,66.13,68.5,8263200,72.21310400067443,
2000-03-08,67.69,71.75,67.25,71.0,6418400,71.94352533385789,
2000-03-09,71.0,73.0,69.94,72.69,4832700,72.10940859300058,
2000-03-10,72.69,73.75,69.88,70.88,4361100,71.8362066834449,
2000-03-13,69.63,71.56,69.31,70.0,2881300,71.42816075379048,
2000-03-14,71.81,74.63,71.75,72.75,5171100,71.7219028085037,
2000-03-15,72.25,78.19,71.81,76.94,6010100,72.88147996216954,
2000-03-16,79.88,80.5,78.94,79.81,7679500,74.42115108168741,
2000-03-17,79.31,79.94,78.19,79.56,5502100,75.5631175079791,
2000-03-20,79.69,79.94,78.56,79.31,3377600,76.39575806176153,
2000-03-21,78.13,81.0,78.13,80.25,4013800,77.25225627025897,
2000-03-22,80.88,82.25,79.69,82.25,4991500,78.36286598797919,
2000-03-23,81.25,81.94,79.94,80.0,5195000,78.72667354620604,
2000-03-24,73.0,74.0,70.19,72.25,19381800,77.28741275816026,
2000-03-27,71.0,71.25,68.63,69.75,11303800,75.61243214523576,
2000-03-28,69.44,72.0,69.38,72.0,9187800,74.80966944629448,
2000-03-29,70.06,72.13,70.06,71.06,7348000,73.97640956934015,
2000-03-30,70.56,71.63,70.31,70.75,5169100,73.25942966504233,
2000-03-31,71.0,71.13,70.06,70.25,4006700,72.59066751725514,
2000-04-03,70.63,72.75,70.0,72.25,5553400,72.51496362453177,
2000-04-04,73.19,76.75,73.06,76.5,11012100,73.40052726352471,
2000-04-05,76.0,77.5,74.75,77.5,7022400,74.31152120496367,
2000-04-06,77.25,77.31,74.31,74.88,4148500,74.43784982608285,
2000-04-07,76.25,76.38,73.81,74.06,3157500,74.35388319806444,
2000-04-10,74.81,76.5,74.69,76.0,4196800,74.7196869318279,
2000-04-11,76.0,78.38,75.63,78.25,4451900,75.50420094697725,
2000-04-12,77.69,79.38,76.06,77.0,3764100,75.83660073653786,
2000-04-13,76.06,76.94,74.75,76.25,3535700,75.92846723952945,
2000-04-14,75.13,75.63,72.56,73.31,4234600,75.34658563074512,
2000-04-17,75.63,78.0,75.5,77.5,5989100,75.82512215724621,
2000-04-18,80.0,82.0,79.25,81.5,7497500,77.08620612230261,
2000-04-19,81.5,82.63,80.69,82.25,3898800,78.23371587290202,
2000-04-20,82.13,82.94,81.25,81.63,2817700,78.9884456789238,
2000-04-24,81.5,84.44,81.5,83.88,3602800,80.07545775027405,
2000-04-25,83.69,84.44,82.63,84.31,2817800,81.01646713910205,
2000-04-26,84.06,84.06,82.0,82.75,2740000,81.40169666374604,
2000-04-27,82.25,83.38,81.81,83.0,2378300,81.75687518291359,
2000-04-28,82.75,83.0,81.94,82.5,2574700,81.92201403115502,
2000-05-01,82.25,84.44,81.88,82.69,2909800,82.09267757978724,
2000-05-02,82.13,84.56,82.06,84.19,2578400,82.5587492287234,
2000-05-03,84.13,84.94,83.0,83.25,2539500,82.7123605112293,
2000-05-04,83.0,84.06,82.31,83.06,1524400,82.78961373095613,
2000-05-05,83.19,84.25,82.69,84.0,2120600,83.05858845741032,
2000-05-08,84.94,87.75,84.13,87.75,4589400,84.10112435576359,
2000-05-09,87.5,88.44,86.75,87.0,4079500,84.74531894337169,
2000-05-10,87.0,87.0,85.13,85.5,4156500,84.91302584484464,
2000-05-11,86.38,86.94,85.88,86.06,2318100,85.16790899043473,
2000-05-12,86.13,86.19,84.69,85.5,2037100,85.24170699256034,
