,Open,High,Low,Close,Volume,8_EMA,200_SMA
1999-11-01,28.3,28.3,28.13,28.19,22400,28.19,
1999-11-02,28.28,28.33,27.8,27.83,19900,28.11,
1999-11-03,28.03,28.03,27.73,27.95,7400,28.074444444444442,
1999-11-04,28.13,28.38,28.13,28.27,8800,28.1179012345679,
1999-11-05,28.66,28.66,28.14,28.14,23600,28.12281207133059,
1999-11-08,28.0,28.25,28.0,28.19,16600,28.137742722146015,
1999-11-09,28.31,28.33,27.94,28.0,10000,28.10713322833579,
1999-11-10,27.67,28.19,27.67,28.17,21300,28.121103622038948,
1999-11-11,28.42,28.59,28.34,28.5,8000,28.205302817141405,
1999-11-12,28.89,29.13,28.53,29.06,33500,28.395235524443315,
1999-11-15,29.0,29.34,29.0,29.19,15700,28.5718498523448,
1999-11-16,29.25,29.61,29.25,29.56,17700,28.791438774045957,
1999-11-17,29.5,29.5,29.25,29.27,3300,28.897785713146856,
1999-11-18,29.28,29.66,29.28,29.45,8200,29.02049999911422,
1999-11-19,29.47,29.47,29.27,29.31,8700,29.084833332644394,
1999-11-22,29.0,29.09,28.88,29.0,15700,29.065981480945638,
1999-11-23,28.91,28.91,28.47,28.52,7000,28.944652262957717,
1999-11-24,28.44,28.92,28.44,28.92,21400,28.939173982300446,
1999-11-26,28.81,28.81,28.69,28.69,9400,28.88380198623368,
1999-11-29,28.52,28.72,28.52,28.52,31700,28.802957100403976,
1999-11-30,28.56,28.81,28.41,28.5,7500,28.735633300314202,
1999-12-01,28.47,28.59,28.38,28.44,40700,28.66993701135549,
1999-12-02,28.5,28.69,28.5,28.69,20800,28.674395453276492,
1999-12-03,28.94,29.66,28.94,29.25,24600,28.802307574770605,
1999-12-06,29.36,29.44,29.25,29.42,40700,28.939572558154914,
1999-12-07,29.44,29.56,29.34,29.34,11500,29.02855643412049,
1999-12-08,29.41,29.73,29.41,29.63,38900,29.16221055987149,
1999-12-09,29.83,30.13,29.83,30.08,12100,29.366163768788937,
1999-12-10,30.25,30.25,29.77,29.89,18800,29.482571820169174,
1999-12-13,29.69,29.95,29.69,29.69,10700,29.528666971242693,
1999-12-14,29.53,29.83,29.53,29.75,16000,29.577852088744315,
1999-12-15,29.56,29.91,29.45,29.5,8400,29.560551624578913,
1999-12-16,29.63,29.73,29.38,29.73,9500,29.598206819116932,
1999-12-17,29.97,30.25,29.81,30.25,485300,29.743049748202058,
1999-12-20,30.16,30.41,29.97,29.97,301300,29.79348313749049,
1999-12-21,29.81,30.06,29.72,29.78,558700,29.790486884714827,
1999-12-22,29.86,30.0,29.78,29.81,153500,29.794823132555976,
1999-12-23,30.0,30.53,30.0,30.44,445400,29.93819576976576,
1999-12-27,30.75,30.75,30.44,30.44,500800,30.049707820928923,
1999-12-28,30.41,30.67,30.41,30.5,112800,30.149772749611383,
1999-12-29,30.31,30.48,30.31,30.48,27900,30.223156583031077,
1999-12-30,30.41,30.75,30.41,30.59,7300,30.304677342357504,
1999-12-31,30.59,30.89,30.59,30.89,7200,30.434749044055838,
2000-01-03,31.0,31.0,30.06,30.3,246700,30.40480481204343,
2000-01-04,30.19,30.2,29.53,29.61,35300,30.228181520478223,
2000-01-05,29.78,29.78,29.22,29.53,137600,30.073030071483064,
2000-01-06,29.31,29.56,29.16,29.44,50000,29.932356722264604,
2000-01-07,29.47,29.8,29.36,29.8,22100,29.902944117316913,
2000-01-10,32.25,32.94,31.63,32.84,31800,30.5556232023576,
2000-01-11,32.53,32.53,31.97,31.97,17900,30.869929157389244,
2000-01-12,32.22,32.22,31.31,31.44,12400,30.996611566858302,
2000-01-13,31.72,32.44,31.59,32.38,600000,31.304031218667568,
2000-01-14,32.59,32.59,31.91,32.09,23600,31.478690947852552,
2000-01-18,31.88,31.88,31.47,31.5,417300,31.483426292774208,
2000-01-19,31.59,32.25,31.5,32.25,10400,31.65377600549105,
2000-01-20,32.41,32.5,31.88,32.0,64200,31.730714670937484,
2000-01-21,31.88,32.05,31.69,31.94,37300,31.777222521840265,
2000-01-24,32.03,32.19,30.98,30.98,72100,31.60006196143132,
2000-01-25,31.25,31.44,31.0,31.2,24400,31.51115930333547,
2000-01-26,31.19,31.3,31.0,31.06,10500,31.41090168037203,
2000-01-27,31.2,31.39,30.88,30.88,10700,31.292923529178246,
2000-01-28,30.94,31.03,30.25,30.25,18100,31.061162744916412,
2000-01-31,30.38,30.38,29.86,30.11,27500,30.849793246046097,
2000-02-01,30.22,30.53,30.16,30.5,161600,30.77206141359141,
2000-02-02,30.72,31.25,30.72,31.25,7700,30.878269988348872,
2000-02-03,31.2,31.61,31.02,31.53,31500,31.0230988798269,
2000-02-04,31.73,31.81,31.56,31.64,11300,31.160188017643144,
2000-02-07,31.63,31.63,30.98,31.13,36400,31.153479569278,
2000-02-08,31.19,31.53,31.19,31.47,265000,31.22381744277178,
2000-02-09,31.44,31.44,30.77,30.91,19000,31.15408023326694,
2000-02-10,30.88,31.06,30.63,30.64,5000,31.03984018142984,
2000-02-11,30.64,30.88,30.58,30.66,9200,30.95543125222321,
2000-02-14,30.31,30.47,29.91,30.09,14900,30.76311319617361,
2000-02-15,30.03,30.03,29.63,29.86,23100,30.562421374801698,
2000-02-16,29.63,29.75,29.0,29.02,35000,30.219661069290208,
2000-02-17,29.16,29.3,28.88,29.0,15300,29.948625276114605,
2000-02-18,28.94,28.98,28.2,28.2,109900,29.56004188142247,
2000-02-22,28.45,28.45,27.84,28.0,35300,29.21336590777303,
2000-02-23,27.94,28.63,27.94,28.44,17500,29.041506817156804,
2000-02-24,28.47,28.59,27.75,28.22,172800,28.858949746677514,
2000-02-25,28.16,28.19,27.0,27.34,21200,28.521405358526955,
2000-02-28,27.47,27.83,27.28,27.83,103600,28.367759723298743,
2000-02-29,27.94,28.36,27.83,28.14,15500,28.31714645145458,
2000-03-01,28.27,28.53,28.03,28.38,26700,28.331113906686895,
2000-03-02,28.34,28.44,28.16,28.25,47600,28.31308859408981,
2000-03-03,28.47,28.7,28.34,28.64,372700,28.385735573180963,
2000-03-06,28.45,28.61,28.08,28.08,316300,28.317794334696305,
2000-03-07,28.09,28.25,27.5,27.56,635200,28.14939559365268,
